Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
2013	2013/15670	BÜTÜNSEL RÝSK YÖNETÝMÝ	EMRAH KARADERE-HANDE BALABANOÐLU				Bu buluþ ile fraud riski bulunan abonelerin tespit edilebilmesi için 2 farklý yenilik hayata geçirilmiþtir. 1. Abonenin yapmýþ olduðu kullanýmlarýn ve iþlemlerin bütün olarak takip edilebilmesi ve þüpheli bir kullaným þablonuna uyan abonelerin tespit edilebilmesi için uygun altyapý hazýrlanmýþtýr. 2. Abone ile ilgili risk deðerlendirmesi yaparken tek bir hat ile yapýlan kullaným ya da iþlemlere deðil ayný aboneye ait tüm iliþkili hatlarýn deðerlendirilebilmesi için uygun altyapý hazýrlanmýþtýr.
2013	2013/15676	SERVÝS SAÐLAYICI ÝLE MOBÝL KULLANICI ARASINDA EFEKTÝF ÝLETÝÞÝM KURMAK ÝÇÝN METOT	SANVER TARMUR-RAHMÝ CEM ÇEVÝKBAÞ				SIM yeteneklerini kullanarak, OTA üzerinden gönderilen DSTK komutlarý aracýlýðýyla, terminal ekranýnda açýlýr pencereler ile alfanümerik ve nümerik formatlarda bilgi toplamak mümkündür. Bu bilgi toplama iþi SIM yeteneklerinin kullanýlmasý ile kolay ve kullanýcý deneyimi yüksek bir platform haline gelmiþtir. Bu platform ile kullanýcý ile operatör arasýnda efektif iletiþim saðlayan bir kanal açýlmýþtýr fakat bu platform üzerinden gönderilen SIM mesajlarý, SIM kartlarýn bir kýsmý ve bazý terminaller tarafýndan desteklenmemektedir. Yeni oluþturduðumuz, bu patente konu olan platform ile SIM kart veya terminal kaynaklý desteklememe durumlarýnda, kullanýcý ile etkileþimin kesintisiz olarak SMS kurgularý üzerinden yapýlmasý amaçlanmýþtýr. Geliþtirdiðimiz platform sayesinde Turkcell kullanýcýlarýnýn tümü ve tüm diðer operatör aboneleri ile kolay ve kullanýcý deneyimi yüksek etkileþim saðlanabilecek ve bilgi toplanabilecektir.
2013	2013/15677	KAPASÝTÝF ÝZOLASYONLU GERÝ BESLEME	ÝSMAÝL CAN DURSUN-SERVET AYOK-BANU ÜÞENMEZ PEKER				Anahtarlamalý güç kaynaklarýnýn çýkýþ gerilim/akým deðerinin regülasyonunda, regülasyon devresi için yeni bir topoloji (kapasitif izolasyonlu geribesleme) kullanýlarak, sistemin osilasyonu engellenmiþ ve dinamik karakteristiðin iyileþtirilmesi saðlanmýþtýr. Yeni topolojide PI veya I regülatör olarak çalýþacak yapýnýn, PI ve I regülatör geribesleme noktasý kapasitif izolasyondan faydalanarak primer tarafa taþýnmýþ ve sistemin daha kararlý çalýþmasý saðlanmýþtýr.
2013	2013/15678	LOKAL MOBÝL ÝMZA TABANLI KARTSIZ ALIÞVERÝÞ SÝSTEMÝ 	ONUR BÜK				Önerilen sistem alýþveriþ sýrasýnda Mobil Ýmza ile kimlik doðrulayýp, tahsilatýn kimlik ile eþleþtirilen ve bulutta saklanan kartlardan yapýlmasýný içermektedir. 1. Alýþveriþ sýrasýnda kasada üretilen iþlem özeti(digest) telefon uygulamasý tarafýndan alýnýr. 2. Telefon uygulamasý, iþlem özetini SIM kart üzerinde yer alan PKI tabanlý Mobil Ýmza uygulamasýna iletir. 3. Mobil Ýmza uygulamasý iþlem özetini imzalar. 4. Mobil Ýmza uygulamasý imzayý telefon uygulamasýna iletir. 5. Telefon uygulamasý imzayý ödeme sunucusuna iletir. 6. Ödeme sunucusu imzayý doðrular. 7. Ýmza geçerli ise Ödeme sunucusu imza sahibinin hesabýndan tahsilatý yapar. 8. Ödeme sunucusu kasaya ödeme sonucunu iletir. 9. Ödeme sunucusu telefon uygulamasýna ödeme sonucunu iletir.
2013	2013/15680	MÜÞTERÝYE AÝT LOKASYON BÝLGÝSÝ ÝLE FÝNANS VE SÝGORTA ÞÝRKETLERÝNDE MÜÞTERÝYE KREDÝ, SÝGORTA, AVANTAJLI DÖVÝZ ÝÞLEMELRÝ GÝBÝ ÜRÜNLERÝN SUNULMASI, BANKA LOYALTÝSÝNÝN ARTIRILMASI	HAKAN KAYIÞ				Müþteriye ait lokasyon bilgisi ile finans ve sigorta þirketlerinde müþteriye kredi, sigorta, avantajlý döviz iþlemleri gibi ürünlerin sunulmasý, banka loyalty?sinin artýrýlmasý
2013	2013/15683	GSM ABONELERÝNE KULLANIM ANALÝZLERÝNE GÖRE UYGUN TARÝFE, PAKET, KAMPANYA ÖNEREN YÖNTEM VE SÝSTEM 	MEHMET ALPER KOÇAK				GSM abonelerine, geçmiþ dönem kullanýmlarýna göre ve/veya girecekleri tahmini kullaným miktarlarýna göre uygun tarife,paket ve kampanya önerilerini listleyen ve ilgili deðiþikliði yapabilen bir method ve sistem. Web/Wap portal, bir mobile application arayüzleri ile aboneye en uygun tarife, paket ve kampanya bilgileri listelenecek ve abonenin yapacaðý seçime göre ilgili tarife pakete geçiþ iþleminin tetiklenecektir. Analitik pazarlama olarak GSM operatörüne paket satýþýyla gelir artýrýmý ve müþteri memnuniyeti saðlarken, yapýlacak kontratlar ile müþteri baðlýlýðý saðlanacaktýr.
							
2014	2014/01140	Bir Müþteri Ýliþkileri Yönetim Sistemi	OKAN CELEP-ERDÝNÇ ÇETÝNKAYA				Bu buluþ müþteriler (C) ile geçilecek iletiþimlerin zamanýnýn, sýklýðýnýn, geçerlilik süresinin, sýralamasýnýn ve toplu iletiþim yönteminin müþterilerden (C) gelen bildirimler ve/veya kullanýcý isteklerine baðlý olarak þekillendiði bir yönetim sistemi ile ilgilidir. Buluþ konusu sistem (1) ile her sistemde farklý çözüm önerilerini ortadan kaldýrýlarak ortak bir çözüm ve müþteriler (C) ile yapýlan iletiþimlere bütüncül bir yaklaþým getirilmekte ayrýca iletiþim tutarsýzlýklarýný giderilerek müþteri (C) memnuniyeti saðlanmaktadýr. 
2014	2014/03713	Bir Alarm Durumu Tespit ve Bildirim Gönderim Sistemi ve Yöntemi	EREN YILDIZ				Bu buluþ, iletiþim þebekelerindeki çevrimiçi ücretlendirme hatalarý için alarm durumlarýnýn tespit edilmesini ve bildirim gönderilmesini saðlayan bir sistem (1) ve yöntem (100) ile ilgilidir. Buluþ konusu sistem (1); ücretlendirme kontrol birimi (2), ücretlendirme veri tabaný (3), þebeke elemaný (4), arama kayýtlarý iþleme birimi (5), olay ve alarm birimi (6), olay veri tabaný (7) ve operasyonel sorumluya (S) ait bir iletiþim cihazý (8) içermektedir.
2014	2014/05945	Kiþilerin Kendi Belirleyecekleri Bir Deðer Ýle Aranabilmelerini Saðlayan Bir Sistem ve Yöntem	TÜRKER ÇELÝK-AYBERK CANSEVER				Bu buluþ, mobil cihaz kullanan ve bir iletiþim þebekesine abone olan kiþilerin sahip olduklarý telefon numarasýna (MSISDN – Mobile Station International Subscriber Directory Number – Mobil Ýstasyon Uluslararasý Abone Dizin Numarasý) ek olarak, kendi belirleyecekleri nümerik ya da alfanümerik bir deðer kullanýlarak da aranabilmelerini saðlayan bir sistem (1) ve yöntem (100) ile ilgilidir. Buluþ konusu sistem (1); aramayý baþlatan (A) ve aranan (B) abonelerin kullandýklarý mobil cihazlar (2, 12), kayýt yönetim sunucusu (3), veri tabaný (4), çaðrý isteði kontrol sunucusu (5) ve çaðrý kurma altyapýsý (6) içermektedir.
2014	2014/06751	Veri Güvenliðini Saðlayan Bir Sistem ve Yöntemler	BÝRCAN ERGÜR				Bu buluþ, mobil cihaz üzerinde veri güvenliðini saðlayan bir sistem (1) ve verinin þifrelenerek saklanmasý ve þifrelenmiþ verinin çözülerek kullanýmýný saðlayan yöntemler (100, 200) ile ilgilidir. Buluþ konusu sistem (1); mobil cihaz (2), mobil uygulama (21), güvenli eleman (3) ve veri saklama birimi (4) içermektedir.
2014	2014/07226	Kýsa Mesaj Kanalýyla Abone Kimlik Modülünün Tetiklenmesini Saðlayan Bir Sistem ve Yöntem	BÝRCAN ERGÜR-RAHMÝ CEM ÇEVÝKBAÞ				Bu buluþ cep telefonu, akýllý telefon gibi mobil cihazlarda cihaz üzerinde çalýþan mobil uygulama üzerinden kýsa mesaj (SMS_Short Message Service) kanalýyla abone kimlik modülünün (SIM_Subscriber Identity Module) tetiklenmesini saðlayan bir sistem (1) ve yöntem (100) ile ilgidir. 
2014	2014/07455	GSM Þebekelerinde Oluþan Týkanýklýklarýn Giderilmesini Saðlayan Bir Sistem ve Yöntem	ONUR ÖNEÞ-AYSEL AKÇAKOCA-MESUT KANBUR				
2014	2014/07573	Bir Ödeme Sistemi ve Yöntemi	ERDEM GÜNDOÐDU				
2014	2014/07597	Bir Frekans Önerme Sistemi ve Yöntemi	PINAR TANRIVERDÝ-KAAN SARIOÐLU-SERKAN KAYACAN				
2014	2014/07652	Veri Tabanlarý Üzerinde Veri Ýþlenmesini ve Takibini Saðlayan Bir Sistem	ERKAN SARIKAYA				
2014	2014/07602	Çaðrý Detay Kayýtlarýnýn Senaryo Bazlý Örneklendirilmesini Saðlayan Bir Sistem	EREN YILDIZ				
2014	2014/07605	Bir Dijital Ýçerik Eriþim Sistemi	DOÐUKAN DUMAN				
2014	2014/07607	Mobil Cihaz Kullanýcýlarýnýn Kapalý Alanlarda Birbirleriyle Ýletiþime Geçmesini Saðlayan Bir Sistem	DOÐUKAN DUMAN				
2014	2014/07626	Bir Dijital Rehber Oluþturma Sistemi	KAZIM UMUT AÞKIN				
2014	2014/07629	Bir Ödeme Sistemi ve Yöntemi	ONUR ÞÝMÞEK-ALÝ YÜKSEL-DOÐUKAN DUMAN				
2014	2014/07635	Test Verisi Derlemek Ýçin Bir Sistem	HAKAN KAYIÞ				
2014	2014/07638	Web Servis Ýle DTMF Sinyali Gönderilerek Arama Yapýlmasýný Saðlayan Bir Sistem ve Yöntem	TÜRKER ÇELÝK-DURMUÞ FURKAN SERÝM-KORAY VATANSEVER				
2014	2014/07644	Kapsama Tabanlý Bir M2M Kural Ýþletim Sistemi	KEMAL KAPLAN-GÖZDE KAYMAZ				
2014	2014/07645	Canlý Ortamda Bir Tanýmlama ve Test Sistemi	ERKAN SARIKAYA				
2014	2014/08886	RF Enerji Hasatý Ýçin Bir Sistem	HALUK KÜLAH VE EKÝBÝ (SÖZLEÞME GEREÐÝ BAÞVURU)				
2014	2014/11038	Güvenlik Sistemlerinin Çalýþmasýný Otomatik Olarak Düzenleyen Bir Sistem	CAN ÇÝLOÐLU				
2014	2014/12023	Bir Bilinmeyen Numara Bildirim Sistemi ve Yöntemi	SONGÜL KALIN				
2014	2014/12175	Cevapsýz Çaðrýlarýn Tespiti ve Bu Çaðrýlara Ýliþkin Aboneye Bilgilendirme ve Teklif Sunulmasý Ýçin Bir Sistem ve Yöntem	BERNATÜREL-EREN YILDIZ-YEÞÝM DEMÝRKOL				
2014	2014/12256	Bir Kartsýz Ödeme ve Kredi Aktarma Sistemi	MEHMET ONUR SARKAN				
2014	2014/12258	Ýletiþim Þebekelerinde Sýradýþý Durumlarýn Otomatik Olarak Belirlenmesi Ýçin Bir Sistem ve Yöntem	MEHMET ONUR SARKAN-EMRE YAHÞÝ-ONUR ÖNEÞ				
2014	2014/13521	Otoparklarda Ödeme Yapýlmasýný Saðlayan Bir Sistem ve Yöntem	OBEN IÞIK-MURAT YALÇINSOY				
2014	2014/13556	Lokasyon Bazlý Abone Profili Oluþturma ve Bilgilendirme Sistemi	ESRA HATÝCE YILMAZ				
